Stars,Titles,Comments
5.0 out of 5 stars,Super stylish,These are great goggles for a low price I got same-day delivery because I planned a last-minute snowboarding trip and it came in clutch!
5.0 out of 5 stars,11?10?,Great visibilityHad 0 fogging & I used them for 5+ hours a dayThey have rubber grips inside the bandHavnt changed the lends out yet but I?? excited too.I got a lot of compliments on the mountain!
5.0 out of 5 stars,Good goggles for price paid.,"These goggles worked perfectly for me today. We took a 2 hr snowmobile tour in Heeney, Co and after the full 2 hrs and never once taking off the goggles, I only had the slightest spot of fogging which went away after a few seconds. I usually sweat a lot and was worried about fogging, but I was pleased with my experience. The weather was a clear, sunny day so I can?? account for experience with snowy or rainy weather. The only precipitation that got on my goggles was snow blowing off the mountains but it mostly flew off or dried off with the sun. I wore prescription sunglasses underneath with no issues. My normal glasses were a little wider frame which fit but put a little more pressure on the frame itself so I chose the smaller frame sunglasses to avoid possibly breaking my glasses although I?? sure they would have been fine. For the price point, I couldn?? have asked for a better product."
5.0 out of 5 stars,Love,Love
5.0 out of 5 stars,Great googles!,Very stylish
5.0 out of 5 stars,As advertised,Wife and I use for winter hikes.  Boys use for snowboarding.  Good to go.
5.0 out of 5 stars,Perfect,Excellent product and great quality
5.0 out of 5 stars,Goggles Worked perfectly,"No complain, worked great in my last snowboard trip."
3.0 out of 5 stars,Not so Comfy,Still bothering my nose no matter how many times i adjusted it
5.0 out of 5 stars,Great goggles,"Comfortable,  thick straps. Nicely tinted. And affordable!"
4.0 out of 5 stars,FITS MIDIUM-SIZED GLASSES; SLIGHTLY LESS DELICATE THAN ON DESCRIPTION; BUT WORTH THE VALUE,"It fits my glasses which is quite important. I tried it on without the helmet and felt perfect (My helmet is on the way). But then I added pressure on it and it seems the glasses might add pressure to your nose if you got a big head like me.But in general, this product is worth the money it sells for. Let's see if it works on a snowfield."
5.0 out of 5 stars,Goggles,Now i can see much better when foggy days.
5.0 out of 5 stars,Comfortable goggles that don?? fog easily,"I used these for 2 days of snowboarding. I like the way they look and wide field of view they offer. They only got a bit of fog a couple of times when my breath got inside them, and even then they defogged really fast. I switched out the lens after the sun went down on the first day and the switching process was really awkward and I was afraid I was going to break them, but I was so glad I could because the yellow lens worked great at night! I had never heard of the Zionor brand so I was a bit worried, but half the people on the mountain were wearing Zionor goggles, including my friend that I went with, and after using them, I can understand why, they were so comfortable, and worked so well. I only wish I had bought the kind that has magnetic lens attachment like my friend?? pair. His magnetic lens swap is really quick and easy."
5.0 out of 5 stars,??,??
2.0 out of 5 stars,Great to walk around in but once on the mountain couldn?? see variations,They felt good and looked good but not ideal lens choice for the mountain
5.0 out of 5 stars,I can see!,Fits perfectly over my glasses.
4.0 out of 5 stars,Nice but the magnetic lens version from zionor is definitely nicer,If torn between his and the magnetic version??go with the magnetic. I bought both for 2 different people Christmas presents. One wears glasses (hence this OTG version) other doesn??. They both have OTG cutouts and on my rough measurements they will both fit same width glasses frames. The magnetic lens change is so much nicer and simple for sunny to night lens change.
2.0 out of 5 stars,Not the best goggles,"I have used these goggles only once, and after two hours of using it got steamed up inside the goggle and blocked my view completely. I am disappointed with this item and will probably not use it again. Not recommended."
5.0 out of 5 stars,Great product,The goggles didn't fog and were nice and clear. I have no issues at all.
5.0 out of 5 stars,"GREAT DEAL, GREAT PRODUCT","Amzing price for what you get, highly recommend, only bad thing i can say is the lens is not magnetic its a pop in and out system but thats not a big issue!!"
5.0 out of 5 stars,Great for glasses,"I really enjoy these goggles. They adjust well and fit snuggly which was great for me since I have a bit of a small head. The goggles look just as advertised and I love the number of options they offer. So far I haven't had any problems with the goggles fogging up with and without face gear like a balaclava. By far the best thing about these goggles is their compatibility with glasses. These goggles were made to slip right over your glasses and I love that about them. Since I don't wear contacts, this has been great for me as most goggles don't take glasses into consideration and thus are always uncomfortable to wear over them. If you didn't wear contacts then you just had to deal with it or take off your glasses and lose your vision. So to have a pair of goggles that adds a space on the side of them to fit over your glasses is simple but very much appreciated. Sunglasses of course apply to this as well. Overall these are a great set of goggles that I feel confident in recommending."
5.0 out of 5 stars,Zionor ski goggles are a perfect fit for this skier,"I like that the Zionor snow goggles arrived on the scheduled arrival date. These goggles fit snugly and well on my face. When the package arrived, the boxing and cover was designed perfectly. I look forward to using these goggles safely and properly in my next snow sliding trip !"
5.0 out of 5 stars,nice,nice
3.0 out of 5 stars,very large on the face,"I liked that the fog protector was pretty good.  the goggles did not fog up that much but they are rather large on the face, I know they went over the glasses but it still seemed large.  Also information is not clear on how to order replacement lenses and what the ratings are for different sunlight or fog during skiing.  good grips on the elastic banding that goes around the head.  wish they were a little thinner on the face but overall great goggles.  wish they came with several different lenses so we could have switched out during skiing on the slopes.  did not realize it would be harder to see and forgot to order the other lenses."
5.0 out of 5 stars,Great vision and clarity!,"I wear contacts when i ski so I need really good goggles to keep the wind off my eyes.  Great clarity, great vision, no fogging, and no wind on my eyes. Absolutely recommend, great value.  There are different amounts of light (Visual Light Transmission, VLT) the different lenses have, i got 22% and worked great for a sunny day."
5.0 out of 5 stars,Best sub$30 goggles I've tried,Fit my relatively large glasses and neither my glasses or goggles ever fogged up!
5.0 out of 5 stars,Good value,"These are pretty good low cost goggles.  I bought them to use as part of a costume, so I can't tell you what they're like to ski with."
5.0 out of 5 stars,This present for my Grandson arrived on-time and good condition.,This present for my Grandson arrived on-time and good condition.
5.0 out of 5 stars,Great buy,Great looking goggles and vision is good when skiing or snowboarding.
5.0 out of 5 stars,Affordable and works well,"Definitely one of the more affordable options. I saw a LOT of people on the mountain who had the same brand of goggles so I guess that?? a good sign. They help up well. I wore glasses but it was a bit of a tight fit. That said it still worked, was comfortable, and visibility was great."
5.0 out of 5 stars,Won?? fog,Product is great. We used them when we went skiing.  We enjoy them.
5.0 out of 5 stars,Great value.,Great value.
5.0 out of 5 stars,Good googles. Happy to have them.,"They certainly work well for my job. Would have liked for the tint visor to be a little darker to help with weld arcs in the corner of my eyes, but I know that wasn?? the intent of this product so I will not be taking off for that."
5.0 out of 5 stars,Great for the price,Becareful all lense easy to scratch. I scratched mine before sporting them
